id,baseline_price,recommended_price,price_uplift,action,nearest_event,event_date,distance_to_event_km,event_category
852747141495770294,113.0,107.76228671862035,-5.237713281379655,HOLD,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,0.942585285634815,Sports
853050928788774664,90.0,117.0,27.0,RAISE,Diplo,2026-05-22,2.233632268329968,Music
853065866211753887,78.0,93.06138359009587,15.061383590095872,RAISE,Diplo,2026-05-22,2.334233606961796,Music
853674356550763866,123.0,153.68011369176276,30.680113691762756,RAISE,Juvenile’s Boiling Point Album Release Tour w/ The 400 Degreez Band,2026-04-17,0.3815043537471415,Music
854684555828953057,386.0,270.2,-115.80000000000001,DISCOUNT,Diplo,2026-05-22,2.6533767571506086,Music
855083534137036382,54.0,70.2,16.200000000000003,RAISE,Juvenile’s Boiling Point Album Release Tour w/ The 400 Degreez Band,2026-04-17,0.5118231471303416,Music
855260924654839953,83.0,93.22232393708212,10.222323937082123,RAISE,Diplo,2026-05-22,3.912788005285889,Music
856013398426151361,158.0,124.39600387868713,-33.603996121312875,DISCOUNT,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,3.327492941481148,Sports
856607716018454593,94.0,122.2,28.200000000000003,RAISE,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,0.6898742984919585,Sports
856769934573680108,90.0,114.11854275713172,24.11854275713172,RAISE,Diplo,2026-05-22,1.6379751593911511,Music
858788950509023423,127.0,137.68148564101458,10.681485641014575,RAISE,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,1.2632131758725564,Sports
860220926209205933,270.0,202.7446799323214,-67.25532006767861,DISCOUNT,Juvenile’s Boiling Point Album Release Tour w/ The 400 Degreez Band,2026-04-17,0.9247879314506908,Music
860282990382751022,145.0,155.80499963034464,10.80499963034464,RAISE,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,0.7533811410235899,Sports
861547009774597549,174.0,184.29288414741634,10.292884147416345,RAISE,Washington Mystics vs. New York Liberty,2026-05-10,2.766302088085088,Sports
861857172153830345,766.0,650.0,-116.0,DISCOUNT,"JOSH THOMAS: JIGGLE, JIGGLE",2026-10-15,0.7129579408061091,Arts & Theatre
862231094075682048,84.0,109.2,25.200000000000003,RAISE,Vans Warped Tour DC,2026-06-13,0.7812065304277949,Music
863112795538390776,246.0,319.8,73.80000000000001,RAISE,"JOSH THOMAS: JIGGLE, JIGGLE",2026-10-15,0.6813435122756822,Arts & Theatre
863957050586482027,554.0,431.38561782111077,-122.61438217888923,DISCOUNT,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,1.4182767423165183,Sports
864602837061719255,304.0,280.8220440842237,-23.177955915776295,DISCOUNT,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,1.4883179754482565,Sports
864612659407971609,98.0,127.4,29.400000000000006,RAISE,Diplo,2026-05-22,2.1269348000187684,Music
865828079875686170,275.0,192.5,-82.5,DISCOUNT,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,0.3484945538131718,Sports
865966548988722589,273.0,228.855256910632,-44.144743089368006,DISCOUNT,Vans Warped Tour DC,2026-06-13,1.0098474881971546,Music
866023355251270757,87.0,96.33566700908511,9.335667009085114,RAISE,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,1.8074050209361237,Sports
866066830375756960,100.0,86.57307389380348,-13.426926106196518,DISCOUNT,Diplo,2026-05-22,2.3219000243333245,Music
866911161965668036,124.0,161.20000000000002,37.20000000000002,RAISE,Washington Mystics vs. New York Liberty,2026-05-10,2.479812883364652,Sports
867666915383121802,180.0,125.99999999999999,-54.000000000000014,DISCOUNT,Vans Warped Tour DC,2026-06-13,1.9624219795095823,Music
867851813794296300,86.0,60.199999999999996,-25.800000000000004,DISCOUNT,Vans Warped Tour DC,2026-06-13,1.9960261826657717,Music
868102882427362411,88.0,114.4,26.400000000000006,RAISE,Juvenile’s Boiling Point Album Release Tour w/ The 400 Degreez Band,2026-04-17,0.3932168841280788,Music
868165104177693250,152.0,148.573268013111,-3.4267319868889956,HOLD,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,0.5818383631281098,Sports
868197573930185358,152.0,129.11028016822345,-22.889719831776546,DISCOUNT,Men At Work,2026-09-20,0.9661698293583983,Music
868207067516966070,152.0,133.64283986316653,-18.35716013683347,DISCOUNT,Men At Work,2026-09-20,0.9661698293583983,Music
868210389078044738,164.0,132.26006790569292,-31.73993209430708,DISCOUNT,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,1.0548835901787674,Sports
868536132648376720,125.0,121.6798344054968,-3.3201655945031945,HOLD,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,1.249783772775143,Sports
868819885504103700,92.0,113.73265111741729,21.73265111741729,RAISE,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,1.813626636214535,Sports
869678339186629233,113.0,139.78048506547765,26.78048506547765,RAISE,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,1.014709703709664,Sports
869839438654238409,39.0,50.7,11.700000000000003,RAISE,Vans Warped Tour DC,2026-06-13,2.8082447738082905,Music
870990027139972443,225.0,157.5,-67.5,DISCOUNT,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,0.9773127735732452,Sports
871026284744865705,103.0,133.9,30.900000000000006,RAISE,Washington Mystics vs. New York Liberty,2026-05-10,0.4993768046123509,Sports
871585201277840315,104.0,135.20000000000002,31.200000000000017,RAISE,Washington Mystics vs. New York Liberty,2026-05-10,0.4758771940926443,Sports
871803014398741136,294.0,304.1234052916459,10.123405291645895,HOLD,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,1.6071642355339708,Sports
871809460378286684,99.0,114.4092986099485,15.409298609948493,RAISE,Washington Mystics vs. New York Liberty,2026-05-10,0.4451470708486026,Sports
872973641593210596,108.0,140.4,32.400000000000006,RAISE,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,0.4934039357174121,Sports
873083656766863716,120.0,138.2284781117189,18.228478111718914,RAISE,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,1.230363265798778,Sports
873289002194600692,102.0,132.6,30.599999999999994,RAISE,Bluey's Big Play - The Stage Show,2026-06-24,0.727009894053003,Arts & Theatre
873321296064967976,154.0,137.68148564101458,-16.318514358985425,DISCOUNT,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,1.2192759762371874,Sports
874065376435968341,142.0,150.77837590630423,8.778375906304234,RAISE,Bluey's Big Play - The Stage Show,2026-06-24,1.353111371091806,Arts & Theatre
874896739097261969,131.0,112.70188740062967,-18.298112599370327,DISCOUNT,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,0.8592279609248057,Sports
876082674680134596,128.0,166.4,38.400000000000006,RAISE,Zainab Johnson,2026-06-06,0.2114727984814288,Arts & Theatre
876089868919156138,129.0,129.16593880445944,0.16593880445944365,HOLD,Dogstar - ALL IN NOW TOUR,2026-08-11,0.0229963138800343,Music
876122334654415849,106.0,137.8,31.80000000000001,RAISE,Zainab Johnson,2026-06-06,0.1168635599524498,Arts & Theatre
876123918424765976,132.0,157.0812581438496,25.081258143849595,RAISE,Juvenile’s Boiling Point Album Release Tour w/ The 400 Degreez Band,2026-04-17,0.090350181722651,Music
876164551529442064,140.0,114.38976834218357,-25.610231657816428,DISCOUNT,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,0.8592279609248057,Sports
876312233369537638,91.0,118.3,27.299999999999997,RAISE,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,0.2629673094203696,Sports
877023112353647190,68.0,86.95113175115729,18.95113175115729,RAISE,Diplo,2026-05-22,4.220134221018678,Music
877568090244811480,165.0,115.49999999999999,-49.500000000000014,DISCOUNT,Georgetown Hoyas Football vs. Holy Cross Crusaders Football,2026-11-07,3.0561675235858567,Sports
