id,baseline_price,recommended_price,price_uplift,action,nearest_event,event_date,distance_to_event_km
1641184,89.0,225.3985806104531,136.3985806104531,RAISE,Men At Work,2026-09-20,0.9910697716549342
1667080,102.0,133.77838731929842,31.778387319298417,RAISE,"JOSH THOMAS: JIGGLE, JIGGLE",2026-10-15,1.6530584825121089
1688139,85.0,137.2929355619446,52.2929355619446,RAISE,Men At Work,2026-09-20,1.5161292145674978
1778080,96.0,160.92363054641905,64.92363054641905,RAISE,Men At Work,2026-09-20,1.495658720102735
1789722,146.0,166.3284869806118,20.328486980611814,RAISE,Men At Work,2026-09-20,1.7233687716113235
1806338,110.0,19.54895007354947,-90.45104992645054,DISCOUNT,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,0.9657028907235748
1824864,119.0,111.97255071363152,-7.02744928636848,DISCOUNT,Vans Warped Tour DC,2026-06-13,1.572755511031827
1825234,185.0,19.54895007354947,-165.45104992645054,DISCOUNT,Bluey's Big Play - The Stage Show,2026-06-24,0.6073695886804041
1838623,25.0,610.5394264684423,585.5394264684423,RAISE,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,5.274376253187103
1860120,87.0,97.49265108717984,10.492651087179837,RAISE,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,2.4133487606212487
1901631,97.0,154.95201097600105,57.95201097600105,RAISE,"JOSH THOMAS: JIGGLE, JIGGLE",2026-10-15,1.669877511420092
1936134,149.0,120.1492059954853,-28.850794004514697,DISCOUNT,Georgetown Hoyas Football vs. Holy Cross Crusaders Football,2026-11-07,4.442329136298512
2111965,42.0,143.12133006790393,101.12133006790393,RAISE,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,5.035598991129246
2115421,48.0,-12.041602164932069,-60.04160216493207,DISCOUNT,The James Hunter Six,2026-04-19,0.5328241261582536
2198232,71.0,-30.122458987253495,-101.1224589872535,DISCOUNT,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,2.512922066231024
2259215,227.0,207.3784996120558,-19.621500387944195,DISCOUNT,Men At Work,2026-09-20,1.072778731053034
2285431,125.0,-2.981365716035434,-127.98136571603544,DISCOUNT,Georgetown Hoyas Football vs. Holy Cross Crusaders Football,2026-11-07,0.9405823542373444
2304761,50.0,225.3985806104531,175.3985806104531,RAISE,Men At Work,2026-09-20,1.1997518658661008
2308259,149.0,155.97640382233698,6.976403822336977,HOLD,Georgetown Hoyas Football vs. Holy Cross Crusaders Football,2026-11-07,1.3331843372684191
2318183,104.0,97.49265108717984,-6.507348912820163,DISCOUNT,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,1.7772282184803778
2343987,74.0,122.61204114827694,48.612041148276944,RAISE,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,1.690444344572389
2365726,54.0,-41.71398587421528,-95.71398587421528,DISCOUNT,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,1.7554786175726882
2466942,160.0,-615.7335347798557,-775.7335347798557,DISCOUNT,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,7.290325280998831
2468252,107.0,182.08171354210262,75.08171354210262,RAISE,Men At Work,2026-09-20,0.7561863550779147
2477325,100.0,22.01245370752997,-77.98754629247003,DISCOUNT,"JOSH THOMAS: JIGGLE, JIGGLE",2026-10-15,0.9123634007549596
2477330,89.0,22.01245370752997,-66.98754629247003,DISCOUNT,"JOSH THOMAS: JIGGLE, JIGGLE",2026-10-15,0.9680494348149103
2501387,275.0,117.4078551382303,-157.5921448617697,DISCOUNT,Bluey's Big Play - The Stage Show,2026-06-24,1.519505830553492
2501531,200.0,337.4940883498789,137.4940883498789,RAISE,Men At Work,2026-09-20,2.3354696092088028
2538828,111.0,157.55097170740095,46.55097170740095,RAISE,Men At Work,2026-09-20,1.5837671619907625
2543133,284.0,149.13469981983653,-134.86530018016347,DISCOUNT,Diplo,2026-05-22,1.868785684197245
2547672,35.0,262.4196292013042,227.4196292013042,RAISE,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,5.006194049476735
2551952,312.0,203.25533719880522,-108.74466280119478,DISCOUNT,Men At Work,2026-09-20,1.1452878925715115
2554353,50.0,-160.3048886777629,-210.3048886777629,DISCOUNT,Diplo,2026-05-22,1.1077683383978911
2622950,192.0,168.92624097644992,-23.073759023550082,DISCOUNT,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,0.4600692719171699
2657916,32.0,-39.18269543615011,-71.18269543615011,DISCOUNT,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,1.820738310611713
2685655,288.0,164.11500229650738,-123.88499770349262,DISCOUNT,Georgetown Hoyas Football vs. Holy Cross Crusaders Football,2026-11-07,0.6820274801695422
2690487,136.0,125.90017169359979,-10.099828306400212,DISCOUNT,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,0.3185668703983761
2791050,83.0,31.140476960511258,-51.85952303948874,DISCOUNT,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,0.4384596538637959
2874685,88.0,160.92363054641905,72.92363054641905,RAISE,Men At Work,2026-09-20,1.79365815725967
2964999,145.0,236.9901074974149,91.9901074974149,RAISE,Men At Work,2026-09-20,1.0632906827664943
