id,latitude,longitude,price,bedrooms,accommodates,room_type,neighbourhood_cleansed,review_scores_rating,minimum_nights,nearest_event,event_date,event_category,distance_to_event_km,temp_avg_c,precipitation_mm,is_outdoor_season,is_peak_summer
42209636,38.91936,-77.04129,76.0,0.0,2,Entire home/apt,"Kalorama Heights, Adams Morgan, Lanier Heights",4.57,31,Men At Work,2026-09-20,Music,1.0860451437166703,22.1,90.0,1.0,0.0
42222012,38.899914,-77.03313,267.0,2.0,5,Entire home/apt,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",4.22,1,The Book of Mormon (Touring),2026-04-28,Arts & Theatre,0.4637975726318625,14.8,82.0,1.0,0.0
42291087,38.95259,-77.09466,186.0,0.0,2,Entire home/apt,"Friendship Heights, American University Park, Tenleytown",4.93,2,Georgetown Hoyas Football vs. Holy Cross Crusaders Football,2026-11-07,Sports,4.47850527223074,9.7,85.0,0.0,0.0
42296497,38.91843,-76.98527,90.0,0.0,2,Entire home/apt,"Brookland, Brentwood, Langdon",4.69,2,Diplo,2026-05-22,Music,1.0887575962028426,19.9,104.0,1.0,0.0
42316829,38.93684,-77.0234,,1.0,2,Entire home/apt,"Brightwood Park, Crestwood, Petworth",4.73,3,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,Sports,1.665236732195166,19.9,104.0,1.0,0.0
42330033,38.94924,-77.03411,51.0,2.0,2,Private room,"Brightwood Park, Crestwood, Petworth",5.0,28,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,Sports,3.2553580198791066,19.9,104.0,1.0,0.0
42388653,38.97433,-77.02575,73.0,1.0,2,Entire home/apt,"Takoma, Brightwood, Manor Park",4.8,31,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,Sports,5.828981111224007,19.9,104.0,1.0,0.0
42400486,38.90653,-76.97881,,2.0,4,Entire home/apt,"Ivy City, Arboretum, Trinidad, Carver Langston",4.71,3,Diplo,2026-05-22,Music,1.5690811548566648,19.9,104.0,1.0,0.0
42403607,38.87881,-77.00773049999998,243.0,1.0,2,Entire home/apt,"Near Southeast, Navy Yard",5.0,31,Foo Fighters: TAKE COVER TOUR 2026,2026-08-17,Music,0.6460751201766272,26.2,99.0,1.0,1.0
42403785,38.9039806,-77.01677649999999,,1.0,2,Entire home/apt,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",,31,"JOSH THOMAS: JIGGLE, JIGGLE",2026-10-15,Arts & Theatre,0.4788533310010485,15.7,82.0,1.0,0.0
42424884,38.9039806,-77.01677649999999,,1.0,2,Entire home/apt,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",,31,"JOSH THOMAS: JIGGLE, JIGGLE",2026-10-15,Arts & Theatre,0.4788533310010485,15.7,82.0,1.0,0.0
42426198,38.9034401,-77.01598609999996,,1.0,2,Entire home/apt,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",,31,"JOSH THOMAS: JIGGLE, JIGGLE",2026-10-15,Arts & Theatre,0.4837587270608792,15.7,82.0,1.0,0.0
42449735,38.9572,-77.08976,229.0,2.0,3,Entire home/apt,"Friendship Heights, American University Park, Tenleytown",5.0,3,Georgetown Hoyas Football vs. Holy Cross Crusaders Football,2026-11-07,Sports,4.850927110338198,9.7,85.0,0.0,0.0
42451061,38.9035,-77.00152,549.0,3.0,8,Entire home/apt,"Union Station, Stanton Park, Kingman Park",4.89,31,"JOSH THOMAS: JIGGLE, JIGGLE",2026-10-15,Arts & Theatre,1.6523707667525012,15.7,82.0,1.0,0.0
42455028,38.90894,-77.01199,,2.0,4,Entire home/apt,"Edgewood, Bloomingdale, Truxton Circle, Eckington",4.65,31,Juvenile’s Boiling Point Album Release Tour w/ The 400 Degreez Band,2026-04-17,Music,1.0595734612440624,14.8,82.0,1.0,0.0
42459578,38.89127,-76.99053,162.0,1.0,6,Entire home/apt,"Capitol Hill, Lincoln Park",4.98,2,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,Sports,1.044784477313589,27.1,94.0,1.0,1.0
42490650,38.91204071044922,-77.03131103515625,130.0,1.0,2,Entire home/apt,"Shaw, Logan Circle",4.92,3,Men At Work,2026-09-20,Music,0.6287956626523954,22.1,90.0,1.0,0.0
42495300,38.86761,-76.95984,,3.0,6,Entire home/apt,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",,31,Vans Warped Tour DC,2026-06-13,Music,2.704297255973374,24.5,91.0,1.0,0.0
42503052,38.95014,-76.99904,79.0,1.0,2,Entire home/apt,"North Michigan Park, Michigan Park, University Heights",4.89,1,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,Sports,3.606515071926502,19.9,104.0,1.0,0.0
42532796,38.91682139999999,-77.04277639999998,,1.0,2,Entire home/apt,"Kalorama Heights, Adams Morgan, Lanier Heights",5.0,31,Men At Work,2026-09-20,Music,1.1943030435345956,22.1,90.0,1.0,0.0
42544998,38.89974,-76.98368,134.0,2.0,5,Entire home/apt,"Union Station, Stanton Park, Kingman Park",4.85,1,Vans Warped Tour DC,2026-06-13,Music,1.429728024181275,24.5,91.0,1.0,0.0
42559196,38.91874,-77.07476,122.0,1.0,2,Entire home/apt,"Cathedral Heights, McLean Gardens, Glover Park",4.91,2,Georgetown Hoyas Football vs. Holy Cross Crusaders Football,2026-11-07,Sports,0.49284456670776555,9.7,85.0,0.0,0.0
42588777,38.95345227129314,-77.02174440046369,65.0,0.0,2,Entire home/apt,"Brightwood Park, Crestwood, Petworth",4.71,1,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,Sports,3.4894879322081036,19.9,104.0,1.0,0.0
42590098,38.93234,-77.01947,162.0,3.0,10,Entire home/apt,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",4.87,2,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,Sports,1.1395482692812824,19.9,104.0,1.0,0.0
42616622,38.90099439999999,-77.04957859999999,,1.0,2,Entire home/apt,"West End, Foggy Bottom, GWU",,31,Bluey's Big Play - The Stage Show,2026-06-24,Arts & Theatre,0.07404346272561335,24.5,91.0,1.0,0.0
42620250,38.9526,-77.01742,102.0,2.0,4,Entire home/apt,"Brightwood Park, Crestwood, Petworth",4.92,2,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,Sports,3.398761523488301,19.9,104.0,1.0,0.0
42633209,38.92944,-77.0199,97.0,2.0,8,Private room,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",4.67,2,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,Sports,0.8162138942219654,19.9,104.0,1.0,0.0
42650292,38.93333,-77.07586,104.0,1.0,4,Entire home/apt,"Cathedral Heights, McLean Gardens, Glover Park",4.73,31,Georgetown Hoyas Football vs. Holy Cross Crusaders Football,2026-11-07,Sports,2.0743503571339,9.7,85.0,0.0,0.0
42691663,38.96135,-77.02749,135.0,1.0,2,Private room,"Takoma, Brightwood, Manor Park",,31,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,Sports,4.412249817522956,19.9,104.0,1.0,0.0
42694055,38.9247,-76.98105,248.0,5.0,6,Entire home/apt,"Brookland, Brentwood, Langdon",4.85,3,Diplo,2026-05-22,Music,0.8934042388458563,19.9,104.0,1.0,0.0
42765421,38.91629,-77.02501,115.0,1.0,1,Private room,"Howard University, Le Droit Park, Cardozo/Shaw",4.94,5,Dogstar - ALL IN NOW TOUR,2026-08-11,Music,0.21525450227108295,26.2,99.0,1.0,1.0
42829620,38.91522,-77.0399,168.0,2.0,6,Entire home/apt,"Dupont Circle, Connecticut Avenue/K Street",4.79,1,Men At Work,2026-09-20,Music,0.9743601497409942,22.1,90.0,1.0,0.0
42867623,38.93355,-77.02544,,1.0,5,Entire home/apt,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",4.5,31,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,Sports,1.3574525293270865,19.9,104.0,1.0,0.0
42879511,38.89886,-76.98507,149.0,2.0,4,Entire home/apt,"Union Station, Stanton Park, Kingman Park",4.82,2,Vans Warped Tour DC,2026-06-13,Music,1.4269510175106523,24.5,91.0,1.0,0.0
42882117,38.92816,-77.06919,160.0,1.0,3,Entire home/apt,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",4.79,3,Georgetown Hoyas Football vs. Holy Cross Crusaders Football,2026-11-07,Sports,1.6458073837926102,9.7,85.0,0.0,0.0
42904211,38.93333,-77.02713,104.0,1.0,2,Private room,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",,4,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,Sports,1.392845760585378,19.9,104.0,1.0,0.0
42929391,38.88216,-77.00531,98.0,1.0,4,Entire home/apt,"Capitol Hill, Lincoln Park",4.83,31,Foo Fighters: TAKE COVER TOUR 2026,2026-08-17,Music,1.034123433280361,26.2,99.0,1.0,1.0
42937437,38.90177,-76.9799,99.0,1.0,2,Entire home/apt,"Ivy City, Arboretum, Trinidad, Carver Langston",4.91,2,Vans Warped Tour DC,2026-06-13,Music,1.4813829474281386,24.5,91.0,1.0,0.0
42938773,38.91682139999999,-77.04277639999998,,1.0,2,Entire home/apt,"Kalorama Heights, Adams Morgan, Lanier Heights",5.0,31,Men At Work,2026-09-20,Music,1.1943030435345956,22.1,90.0,1.0,0.0
42938788,38.90394,-77.01724,,1.0,2,Entire home/apt,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",,31,"JOSH THOMAS: JIGGLE, JIGGLE",2026-10-15,Arts & Theatre,0.4510153058928617,15.7,82.0,1.0,0.0
42939091,38.89706,-77.00121,241.0,2.0,4,Entire home/apt,"Union Station, Stanton Park, Kingman Park",4.99,3,"Wizards v Heat (City Edition T-Shirt - First 15,000 Fans)",2026-04-10,Sports,1.6290676239895003,14.8,82.0,1.0,0.0
42941255,38.9157836,-77.0293919,117.0,2.0,4,Entire home/apt,"Howard University, Le Droit Park, Cardozo/Shaw",4.77,3,Men At Work,2026-09-20,Music,0.18303513227802515,22.1,90.0,1.0,0.0
42957495,38.88612,-77.00692,263.0,4.0,13,Entire home/apt,"Capitol Hill, Lincoln Park",5.0,31,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,Sports,1.3295593581230043,27.1,94.0,1.0,1.0
42964787,38.90533,-77.02882,284.0,1.0,2,Private room,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",5.0,31,The James Hunter Six,2026-04-19,Music,0.26380170615933596,14.8,82.0,1.0,0.0
42966479,38.90662,-77.02744,171.0,1.0,2,Private room,"Shaw, Logan Circle",,31,The James Hunter Six,2026-04-19,Music,0.44252976867412236,14.8,82.0,1.0,0.0
42986431,38.92456,-77.07372,425.0,2.0,4,Entire home/apt,"Cathedral Heights, McLean Gardens, Glover Park",4.98,4,Georgetown Hoyas Football vs. Holy Cross Crusaders Football,2026-11-07,Sports,1.1347734274291377,9.7,85.0,0.0,0.0
43044374,38.91109,-77.06437,96.0,2.0,4,Entire home/apt,"Georgetown, Burleith/Hillandale",4.74,1,Georgetown Hoyas Football vs. Holy Cross Crusaders Football,2026-11-07,Sports,1.1725242563546767,9.7,85.0,0.0,0.0
43059320,38.88742,-76.97804,100.0,1.0,4,Entire home/apt,"Capitol Hill, Lincoln Park",4.86,2,Vans Warped Tour DC,2026-06-13,Music,0.3866490755199487,24.5,91.0,1.0,0.0
